feature,period,target,tree_importance,boruta_keep,linear_coef,shap_value,tft_vsn_importance,tree_rank,linear_rank,boruta_score,score_embedded
price_volume_corr_20,1d,target_binarytrend,0.005289822351187468,0.0,0.0,0.0,0.0,92.0,106.5,0.0,0.4137440758293839
price_position_ma200,1d,target_binarytrend,0.00424234289675951,0.0,0.0,0.0,0.0,149.0,106.5,0.0,0.35971563981042654
r_sym,1d,target_binarytrend,0.005723633803427219,0.0,0.0,0.0,0.0,67.0,106.5,0.0,0.4374407582938389
r_btc,1d,target_binarytrend,0.008682779967784882,0.1,0.0,0.0,0.0,8.0,106.5,0.1,0.5133649289099527
beta_btc_60d,1d,target_binarytrend,0.004156714770942926,0.0,0.0,0.0,0.0,153.0,106.5,0.0,0.35592417061611376
distance_to_pivot,1d,target_binarytrend,0.0067298742942512035,0.1,0.0,0.0,0.0,34.0,106.5,0.1,0.48872037914691946
hour_cos,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0,198.5,106.5,0.0,0.3127962085308057
dow_sin,1d,target_binarytrend,0.008311101235449314,0.0,0.0,0.0,0.0,10.0,106.5,0.0,0.4914691943127962
dow_cos,1d,target_binarytrend,0.0050607058219611645,0.0,0.0,0.0,0.0,109.0,106.5,0.0,0.3976303317535545
trend_flag_diff1,1d,target_binarytrend,0.0065573216415941715,0.1,0.0,0.0,0.0,39.0,106.5,0.1,0.48398104265402847
trend_flag_slope_24h,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0,198.5,106.5,0.0,0.3127962085308057
range_flag_diff1,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0,198.5,106.5,0.0,0.3127962085308057
range_flag_slope_24h,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0,198.5,106.5,0.0,0.3127962085308057
ppo_diff1,1d,target_binarytrend,0.005208637565374374,0.0,0.0,0.0,0.0,99.0,106.5,0.0,0.4071090047393365
