expert,symbol,period,rows,start_dt,end_dt,policy_enabled,policy_scope,policy_method,intersect_cols_count,intersect_all_null_cols_count,missing_threshold_cols_count,missing_threshold_rows
Alpha-Ret-TFT-base,BNB_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,False,,,0,0,0,0
Alpha-Ret-TFT-base,BNB_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,False,,,0,0,0,0
Alpha-Ret-TFT-base,BTC_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,False,,,0,0,0,0
Alpha-Ret-TFT-base,BTC_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,False,,,0,0,0,0
Alpha-Ret-TFT-base,BTC_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,False,,,0,0,0,0
Alpha-Ret-TFT-base,ETH_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,False,,,0,0,0,0
Alpha-Ret-TFT-base,ETH_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,False,,,0,0,0,0
Alpha-Ret-TFT-base,ETH_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,False,,,0,0,0,0
Alpha-Ret-TFT-base,SOL_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,False,,,0,0,0,0
Alpha-Ret-TFT-base,SOL_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,False,,,0,0,0,0
Alpha-Ret-TFT-base,SOL_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,False,,,0,0,0,0
Alpha-Ret-TFT-rich,ADA_USDT,1d,411,2024-07-24 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,59,0,0,0
Alpha-Ret-TFT-rich,ADA_USDT,1h,9912,2024-07-23 01:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,59,0,0,0
Alpha-Ret-TFT-rich,ADA_USDT,4h,2476,2024-07-23 04:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,59,0,0,0
Alpha-Ret-TFT-rich,BNB_USDT,1d,411,2024-07-24 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,59,0,0,0
Alpha-Ret-TFT-rich,BNB_USDT,1h,9912,2024-07-23 01:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,59,0,0,0
Alpha-Ret-TFT-rich,BNB_USDT,4h,2476,2024-07-23 04:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,59,0,0,0
Alpha-Ret-TFT-rich,BTC_USDT,1d,411,2024-07-24 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,59,0,0,0
Alpha-Ret-TFT-rich,BTC_USDT,1h,9912,2024-07-23 01:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,59,0,0,0
Alpha-Ret-TFT-rich,BTC_USDT,4h,2476,2024-07-23 04:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,59,0,0,0
Alpha-Ret-TFT-rich,ETH_USDT,1d,411,2024-07-24 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,59,0,0,0
Alpha-Ret-TFT-rich,ETH_USDT,1h,9912,2024-07-23 01:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,59,0,0,0
Alpha-Ret-TFT-rich,ETH_USDT,4h,2476,2024-07-23 04:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,59,0,0,0
Alpha-Ret-TFT-rich,SOL_USDT,1d,411,2024-07-24 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,59,0,0,0
Alpha-Ret-TFT-rich,SOL_USDT,1h,9912,2024-07-23 01:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,59,0,0,0
Alpha-Ret-TFT-rich,SOL_USDT,4h,2476,2024-07-23 04:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,59,0,0,0
Factor-Bridge-TFT-base,ADA_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,False,,,0,0,0,0
Factor-Bridge-TFT-base,ADA_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,False,,,0,0,0,0
Factor-Bridge-TFT-base,ADA_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,False,,,0,0,0,0
Factor-Bridge-TFT-base,BNB_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,False,,,0,0,0,0
Factor-Bridge-TFT-base,BNB_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,False,,,0,0,0,0
Factor-Bridge-TFT-base,BNB_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,False,,,0,0,0,0
Factor-Bridge-TFT-base,BTC_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,False,,,0,0,0,0
Factor-Bridge-TFT-base,BTC_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,False,,,0,0,0,0
Factor-Bridge-TFT-base,BTC_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,False,,,0,0,0,0
Factor-Bridge-TFT-base,ETH_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,False,,,0,0,0,0
Factor-Bridge-TFT-base,ETH_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,False,,,0,0,0,0
Factor-Bridge-TFT-base,ETH_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,False,,,0,0,0,0
Factor-Bridge-TFT-base,SOL_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,False,,,0,0,0,0
Factor-Bridge-TFT-base,SOL_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,False,,,0,0,0,0
Factor-Bridge-TFT-base,SOL_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,False,,,0,0,0,0
Factor-Bridge-TFT-rich,ADA_USDT,1d,411,2024-07-24 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,59,0,0,0
Factor-Bridge-TFT-rich,ADA_USDT,1h,9912,2024-07-23 01:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,59,0,0,0
Factor-Bridge-TFT-rich,ADA_USDT,4h,2476,2024-07-23 04:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,59,0,0,0
Factor-Bridge-TFT-rich,BNB_USDT,1d,411,2024-07-24 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,59,0,0,0
Factor-Bridge-TFT-rich,BNB_USDT,1h,9912,2024-07-23 01:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,59,0,0,0
Factor-Bridge-TFT-rich,BNB_USDT,4h,2476,2024-07-23 04:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,59,0,0,0
Factor-Bridge-TFT-rich,BTC_USDT,1d,411,2024-07-24 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,59,0,0,0
Factor-Bridge-TFT-rich,BTC_USDT,1h,9912,2024-07-23 01:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,59,0,0,0
Factor-Bridge-TFT-rich,BTC_USDT,4h,2476,2024-07-23 04:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,59,0,0,0
Factor-Bridge-TFT-rich,ETH_USDT,1d,411,2024-07-24 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,59,0,0,0
Factor-Bridge-TFT-rich,ETH_USDT,1h,9912,2024-07-23 01:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,59,0,0,0
Factor-Bridge-TFT-rich,ETH_USDT,4h,2476,2024-07-23 04:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,59,0,0,0
Factor-Bridge-TFT-rich,SOL_USDT,1d,411,2024-07-24 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,59,0,0,0
Factor-Bridge-TFT-rich,SOL_USDT,1h,9912,2024-07-23 01:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,59,0,0,0
Factor-Bridge-TFT-rich,SOL_USDT,4h,2476,2024-07-23 04:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,59,0,0,0
KeyLevel-Breakout-TFT-base,ADA_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,False,,,0,0,0,0
KeyLevel-Breakout-TFT-base,ADA_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,False,,,0,0,0,0
KeyLevel-Breakout-TFT-base,ADA_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,False,,,0,0,0,0
KeyLevel-Breakout-TFT-base,BNB_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,False,,,0,0,0,0
KeyLevel-Breakout-TFT-base,BNB_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,False,,,0,0,0,0
KeyLevel-Breakout-TFT-base,BNB_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,False,,,0,0,0,0
KeyLevel-Breakout-TFT-base,BTC_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,False,,,0,0,0,0
KeyLevel-Breakout-TFT-base,BTC_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,False,,,0,0,0,0
KeyLevel-Breakout-TFT-base,BTC_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,False,,,0,0,0,0
KeyLevel-Breakout-TFT-base,ETH_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,False,,,0,0,0,0
KeyLevel-Breakout-TFT-base,ETH_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,False,,,0,0,0,0
KeyLevel-Breakout-TFT-base,ETH_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,False,,,0,0,0,0
KeyLevel-Breakout-TFT-base,SOL_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,False,,,0,0,0,0
KeyLevel-Breakout-TFT-base,SOL_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,False,,,0,0,0,0
KeyLevel-Breakout-TFT-base,SOL_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,False,,,0,0,0,0
KeyLevel-Breakout-TFT-rich,ADA_USDT,1d,411,2024-07-24 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,59,0,0,0
KeyLevel-Breakout-TFT-rich,ADA_USDT,1h,9912,2024-07-23 01:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,59,0,0,0
KeyLevel-Breakout-TFT-rich,ADA_USDT,4h,2476,2024-07-23 04:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,59,0,0,0
KeyLevel-Breakout-TFT-rich,BNB_USDT,1d,411,2024-07-24 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,59,0,0,0
KeyLevel-Breakout-TFT-rich,BNB_USDT,1h,9912,2024-07-23 01:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,59,0,0,0
KeyLevel-Breakout-TFT-rich,BNB_USDT,4h,2476,2024-07-23 04:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,59,0,0,0
KeyLevel-Breakout-TFT-rich,BTC_USDT,1d,411,2024-07-24 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,59,0,0,0
KeyLevel-Breakout-TFT-rich,BTC_USDT,1h,9912,2024-07-23 01:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,59,0,0,0
KeyLevel-Breakout-TFT-rich,BTC_USDT,4h,2476,2024-07-23 04:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,59,0,0,0
KeyLevel-Breakout-TFT-rich,ETH_USDT,1d,411,2024-07-24 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,59,0,0,0
KeyLevel-Breakout-TFT-rich,ETH_USDT,1h,9912,2024-07-23 01:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,59,0,0,0
KeyLevel-Breakout-TFT-rich,ETH_USDT,4h,2476,2024-07-23 04:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,59,0,0,0
KeyLevel-Breakout-TFT-rich,SOL_USDT,1d,411,2024-07-24 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,59,0,0,0
KeyLevel-Breakout-TFT-rich,SOL_USDT,1h,9912,2024-07-23 01:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,59,0,0,0
KeyLevel-Breakout-TFT-rich,SOL_USDT,4h,2476,2024-07-23 04:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,59,0,0,0
MicroStruct-Deriv-TFT-base,ADA_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,False,,,0,0,0,0
MicroStruct-Deriv-TFT-base,ADA_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,False,,,0,0,0,0
MicroStruct-Deriv-TFT-base,ADA_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,False,,,0,0,0,0
MicroStruct-Deriv-TFT-base,BNB_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,False,,,0,0,0,0
MicroStruct-Deriv-TFT-base,BNB_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,False,,,0,0,0,0
MicroStruct-Deriv-TFT-base,BNB_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,False,,,0,0,0,0
MicroStruct-Deriv-TFT-base,BTC_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,False,,,0,0,0,0
MicroStruct-Deriv-TFT-base,BTC_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,False,,,0,0,0,0
MicroStruct-Deriv-TFT-base,BTC_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,False,,,0,0,0,0
MicroStruct-Deriv-TFT-base,ETH_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,False,,,0,0,0,0
MicroStruct-Deriv-TFT-base,ETH_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,False,,,0,0,0,0
MicroStruct-Deriv-TFT-base,ETH_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,False,,,0,0,0,0
MicroStruct-Deriv-TFT-base,SOL_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,False,,,0,0,0,0
MicroStruct-Deriv-TFT-base,SOL_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,False,,,0,0,0,0
MicroStruct-Deriv-TFT-base,SOL_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,False,,,0,0,0,0
MicroStruct-Deriv-TFT-rich,ADA_USDT,1d,411,2024-07-24 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,59,0,0,0
MicroStruct-Deriv-TFT-rich,ADA_USDT,1h,9912,2024-07-23 01:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,59,0,0,0
MicroStruct-Deriv-TFT-rich,ADA_USDT,4h,2476,2024-07-23 04:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,59,0,0,0
MicroStruct-Deriv-TFT-rich,BNB_USDT,1d,411,2024-07-24 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,59,0,0,0
MicroStruct-Deriv-TFT-rich,BNB_USDT,1h,9912,2024-07-23 01:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,59,0,0,0
MicroStruct-Deriv-TFT-rich,BNB_USDT,4h,2476,2024-07-23 04:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,59,0,0,0
MicroStruct-Deriv-TFT-rich,BTC_USDT,1d,411,2024-07-24 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,59,0,0,0
MicroStruct-Deriv-TFT-rich,BTC_USDT,1h,9912,2024-07-23 01:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,59,0,0,0
MicroStruct-Deriv-TFT-rich,BTC_USDT,4h,2476,2024-07-23 04:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,59,0,0,0
MicroStruct-Deriv-TFT-rich,ETH_USDT,1d,411,2024-07-24 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,59,0,0,0
MicroStruct-Deriv-TFT-rich,ETH_USDT,1h,9912,2024-07-23 01:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,59,0,0,0
MicroStruct-Deriv-TFT-rich,ETH_USDT,4h,2476,2024-07-23 04:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,59,0,0,0
MicroStruct-Deriv-TFT-rich,SOL_USDT,1d,411,2024-07-24 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,59,0,0,0
MicroStruct-Deriv-TFT-rich,SOL_USDT,1h,9912,2024-07-23 01:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,59,0,0,0
MicroStruct-Deriv-TFT-rich,SOL_USDT,4h,2476,2024-07-23 04:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,59,0,0,0
OnChain-ETF-TFT-base,ADA_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,0,0,0,0
OnChain-ETF-TFT-base,ADA_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,0,0,0,0
OnChain-ETF-TFT-base,ADA_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,0,0,0,0
OnChain-ETF-TFT-base,BNB_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,0,0,0,0
OnChain-ETF-TFT-base,BNB_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,0,0,0,0
OnChain-ETF-TFT-base,BNB_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,0,0,0,0
OnChain-ETF-TFT-base,BTC_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,0,0,0,0
OnChain-ETF-TFT-base,BTC_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,0,0,0,0
OnChain-ETF-TFT-base,BTC_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,0,0,0,0
OnChain-ETF-TFT-base,ETH_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,0,0,0,0
OnChain-ETF-TFT-base,ETH_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,0,0,0,0
OnChain-ETF-TFT-base,ETH_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,0,0,0,0
OnChain-ETF-TFT-base,SOL_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,0,0,0,0
OnChain-ETF-TFT-base,SOL_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,0,0,0,0
OnChain-ETF-TFT-base,SOL_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,0,0,0,0
OnChain-ETF-TFT-rich,ADA_USDT,1d,411,2024-07-24 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,59,0,0,0
OnChain-ETF-TFT-rich,ADA_USDT,1h,9912,2024-07-23 01:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,59,0,0,0
OnChain-ETF-TFT-rich,ADA_USDT,4h,2476,2024-07-23 04:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,59,0,0,0
OnChain-ETF-TFT-rich,BNB_USDT,1d,411,2024-07-24 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,59,0,0,0
OnChain-ETF-TFT-rich,BNB_USDT,1h,9912,2024-07-23 01:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,59,0,0,0
OnChain-ETF-TFT-rich,BNB_USDT,4h,2476,2024-07-23 04:00:00+00:00,2025-09-08 16:00:00+00:00,True,onchain,intersect,59,0,0,0
OnChain-ETF-TFT-rich,BTC_USDT,1d,411,2024-07-24 00:00:00+00:00,2025-09-07 00:00:00+00:00,True,onchain,intersect,59,0,0,0
OnChain-ETF-TFT-rich,BTC_USDT,1h,9912,2024-07-23 01:00:00+00:00,2025-09-09 00:00:00+00:00,True,onchain,intersect,59,0,0,0
