feature,reason,value
open_zn56,coverage,0.19308558517185004
high_zn56,coverage,0.19308558517185004
low_zn56,coverage,0.19308558517185004
close_zn56,coverage,0.19308558517185004
ma5_zn56,coverage,0.19308558517185004
ma20_zn56,coverage,0.19308558517185004
boll_upper_zn56,coverage,0.19308558517185004
boll_lower_zn56,coverage,0.19308558517185004
support_level_20_zn56,coverage,0.19308558517185004
resistance_level_20_zn56,coverage,0.19308558517185004
distance_to_support_zn56,coverage,0.19308558517185004
distance_to_resistance_zn56,coverage,0.19308558517185004
volume_zn56,coverage,0.19308558517185004
vol_ma_zn56,coverage,0.19308558517185004
volume_relative_20_zn56,coverage,0.19308558517185004
obv_zn56,coverage,0.19308558517185004
atr_zn56,coverage,0.19308558517185004
amplitude_range_zn56,coverage,0.19308558517185004
atr_slope_zn56,coverage,0.19308558517185004
trendline_slope_20_zn56,coverage,0.19308558517185004
ma_diff_5_20_zn56,coverage,0.19308558517185004
cci_zn56,coverage,0.19308558517185004
adx_scaled_zn56,coverage,0.19308558517185004
vwap_zn56,coverage,0.19308558517185004
obv_diff1_zn56,coverage,0.19308558517185004
obv_pct_zn56,coverage,0.19308558517185004
obv_slope_14_zn56,coverage,0.19308558517185004
trend_flag_zn56,coverage,0.19308558517185004
range_flag_zn56,coverage,0.19308558517185004
high_vol_flag_zn56,coverage,0.19308558517185004
stress_flag_zn56,coverage,0.19308558517185004
donchian_high_20_zn56,coverage,0.19308558517185004
donchian_low_20_zn56,coverage,0.19308558517185004
keltner_upper_20_zn56,coverage,0.19308558517185004
keltner_lower_20_zn56,coverage,0.19308558517185004
squeeze_on_zn56,coverage,0.19308558517185004
ppo_zn56,coverage,0.19308558517185004
stoch_rsi_zn56,coverage,0.19308558517185004
williams_r_zn56,coverage,0.19308558517185004
tsi_zn56,coverage,0.19308558517185004
ichimoku_conv_zn56,coverage,0.19308558517185004
ichimoku_base_zn56,coverage,0.19308558517185004
ichimoku_span_a_zn56,coverage,0.19308558517185004
ichimoku_span_b_zn56,coverage,0.19308558517185004
cloud_thickness_zn56,coverage,0.19308558517185004
psar_zn56,coverage,0.19308558517185004
psar_flip_flag_zn56,coverage,0.19308558517185004
supertrend_10_3_zn56,coverage,0.19308558517185004
heikin_ashi_trend_zn56,coverage,0.19308558517185004
ret_skew_30d_zn56,coverage,0.19308558517185004
ret_kurt_30d_zn56,coverage,0.19308558517185004
