feature,coverage,variance,keep,cluster_rep
volume_spike_near_resist,1.0,0.07013682533598001,True,volume_spike_near_resist
obv_diff1,1.0,6078588508462872.0,True,obv_diff1
obv_pct,1.0,0.04674141042337617,True,obv_pct
obv_slope_14,1.0,583549187031049.0,True,obv_slope_14
atr_ratio_price,1.0,0.0002326507205400862,True,atr_ratio_price
atr_ratio_range,1.0,0.31633964253711533,True,atr_ratio_range
atr_change,1.0,0.003984720956024047,True,atr_change
range_to_atr,1.0,0.29735948523072436,False,atr_ratio_range
atr_slope,1.0,424.3389091584124,True,atr_slope
boll_pctb,1.0,0.10621498563114015,False,cci
amplitude_range,1.0,136421.91664455098,False,donchian_high_20
open_zn96,0.7785697227988317,2.142069425312099,False,ichimoku_conv_zn96
high_zn96,0.7785697227988317,2.1427927857554043,False,ichimoku_conv_zn96
low_zn96,0.7785697227988317,2.104993968133396,False,ichimoku_conv_zn96
close_zn96,0.7785697227988317,2.142162439863692,False,ichimoku_conv_zn96
ma5_zn96,0.7785697227988317,2.2504646462463374,False,ichimoku_conv_zn96
ma20_zn96,0.7785697227988317,2.52366097814772,False,keltner_upper_20_zn96
boll_upper_zn96,0.7785697227988317,2.383433728658112,True,boll_upper_zn96
boll_lower_zn96,0.7785697227988317,2.327425471043319,True,boll_lower_zn96
support_level_20_zn96,0.7785697227988317,2.293379981097148,False,support_level_20_zn96
resistance_level_20_zn96,0.7785697227988317,2.3731610742838845,False,resistance_level_20_zn96
distance_to_support_zn96,0.7785697227988317,1.4716485539160322,True,distance_to_support_zn96
distance_to_resistance_zn96,0.7785697227988317,1.4592652026352582,True,distance_to_resistance_zn96
volume_zn96,0.7785697227988317,1.1261734117856288,False,volume_percentile
vol_ma_zn96,0.7785697227988317,1.4121365972218378,True,vol_ma_zn96
volume_relative_20_zn96,0.7785697227988317,1.0294463574201869,False,volume_relative_20
obv_zn96,0.7785697227988317,2.2043864432360833,True,obv_zn96
atr_zn96,0.7785697227988317,1.6995429525740577,True,atr_zn96
amplitude_range_zn96,0.7785697227988317,1.1053299635798872,True,amplitude_range_zn96
atr_slope_zn96,0.7785697227988317,1.1066357320916804,False,atr_change
trendline_slope_20_zn96,0.7785697227988317,1.4358373800516004,False,trendline_slope_20_zn96
ma_diff_5_20_zn96,0.7785697227988317,1.3902414799547207,True,ma_diff_5_20_zn96
cci_zn96,0.7785697227988317,1.1501424131907811,True,cci_zn96
adx_scaled_zn96,0.7785697227988317,1.6654375352853825,True,adx_scaled_zn96
vwap_zn96,0.7785697227988317,2.918015933653863,True,vwap_zn96
obv_diff1_zn96,0.7785697227988317,1.110709659454537,True,obv_diff1_zn96
obv_pct_zn96,0.7785697227988317,1.1185699118106007,True,obv_pct_zn96
obv_slope_14_zn96,0.7785697227988317,1.399390955786256,True,obv_slope_14_zn96
trend_flag_zn96,0.7785697227988317,1.3214357146669466,True,trend_flag_zn96
range_flag_zn96,0.7785697227988317,0.524051148163047,True,range_flag_zn96
high_vol_flag_zn96,0.7785697227988317,0.20484872641971677,True,high_vol_flag_zn96
stress_flag_zn96,0.7785697227988317,0.027706317244369498,True,stress_flag_zn96
donchian_high_20_zn96,0.7785697227988317,2.3731610742838845,False,resistance_level_20_zn96
