feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
target_breakout_prob,0.089932,0.010578503161129382,0.0008733746256510029,0.5607645149657411,0.010578503161129382,1.0,2.0,1.5,0.007075471698113208,1h,target_binarytrend,2025,36,0,0,0.009812956548279985,0.011344049773978779
price_above_ma20,0.06556006,0.00042108881947680035,6.42960950441876e-05,0.5607645149657411,0.00042108881947680035,2.0,74.0,38.0,0.1792452830188679,1h,target_binarytrend,2025,36,0,0,0.00036473080730781675,0.00047744683164578395
high_mm30,0.009798606,0.0010146073749756068,0.0018549383850696587,0.5607645149657411,0.0010146073749756068,3.0,46.0,24.5,0.11556603773584906,1h,target_binarytrend,2025,36,0,0,-0.0006113178076754527,0.0026405325576266663
low_mm30,0.008620176,0.0014779096024425398,0.0005949079565546483,0.5607645149657411,0.0014779096024425398,4.0,32.0,18.0,0.08490566037735849,1h,target_binarytrend,2025,36,0,0,0.0009564497870075591,0.0019993694178775203
high_vol_flag_zn30,0.0072849677,0.00028160869970719207,0.00017912617155284812,0.5607645149657411,0.00028160869970719207,5.0,79.0,42.0,0.19811320754716982,1h,target_binarytrend,2025,36,0,0,0.00012459768761974077,0.00043861971179464336
target_vol_jump_prob,0.0066395206,-0.00013985798929183613,3.783829784259811e-05,0.5607645149657411,-0.00013985798929183613,6.0,120.0,63.0,0.2971698113207547,1h,target_binarytrend,2025,36,0,0,-0.00017302471969437785,-0.00010669125888929439
breakout_recent_high,0.0064225956,-0.0003214473123721362,0.00018021554950493034,0.5607645149657411,-0.0003214473123721362,7.0,131.0,69.0,0.32547169811320753,1h,target_binarytrend,2025,36,0,0,-0.00047941320633597325,-0.0001634814184082991
range_flag_slope_24h,0.0063731014,0.0008121090328106594,0.00015890611767036613,0.5607645149657411,0.0008121090328106594,8.0,55.0,31.5,0.14858490566037735,1h,target_binarytrend,2025,36,0,0,0.0006728216793992639,0.000951396386222055
trend_flag_diff1,0.006106343,0.00042248063355725395,8.287567532135379e-05,0.5607645149657411,0.00042248063355725395,9.0,72.0,40.5,0.19103773584905662,1h,target_binarytrend,2025,36,0,0,0.0003498369012269524,0.0004951243658875555
squeeze_on,0.0059848498,3.0570968162058064e-06,0.00024218754763033923,0.5607645149657411,3.0570968162058064e-06,10.0,104.0,57.0,0.2688679245283019,1h,target_binarytrend,2025,36,0,0,-0.00020922964854751356,0.0002153438421799252
